event_id,observed_at,low_usd
17650338,2026-05-08T20:19:43.178923+00:00,2271
17650349,2026-05-08T20:19:43.178923+00:00,385
17234767,2026-05-08T20:19:43.178923+00:00,1157
17176203,2026-05-08T20:19:43.178923+00:00,1092
17171556,2026-05-08T20:19:43.178923+00:00,254
17269669,2026-05-08T20:19:43.178923+00:00,1458
17307864,2026-05-08T20:19:43.178923+00:00,681
17249637,2026-05-08T20:19:43.178923+00:00,314
17307552,2026-05-08T20:19:43.178923+00:00,425
17385143,2026-05-08T20:19:43.178923+00:00,759
17213259,2026-05-08T20:19:43.178923+00:00,757
17650339,2026-05-08T20:19:43.178923+00:00,317
17174340,2026-05-08T20:19:43.178923+00:00,494
17248695,2026-05-08T20:19:43.178923+00:00,551
17176204,2026-05-08T20:19:43.178923+00:00,292
17164014,2026-05-08T20:19:43.178923+00:00,384
17269672,2026-05-08T20:19:43.178923+00:00,776
17307866,2026-05-08T20:19:43.178923+00:00,285
17196233,2026-05-08T20:19:43.178923+00:00,828
17171557,2026-05-08T20:19:43.178923+00:00,185
17307554,2026-05-08T20:19:43.178923+00:00,671
17385142,2026-05-08T20:19:43.178923+00:00,1056
17234768,2026-05-08T20:19:43.178923+00:00,488
17650337,2026-05-08T20:19:43.178923+00:00,793
17174341,2026-05-08T20:19:43.178923+00:00,242
17176205,2026-05-08T20:19:43.178923+00:00,350
17249638,2026-05-08T20:19:43.178923+00:00,605
17650350,2026-05-08T20:19:43.178923+00:00,2780
17248696,2026-05-08T20:19:43.178923+00:00,1082
17307502,2026-05-08T20:19:43.178923+00:00,827
17213260,2026-05-08T20:19:43.178923+00:00,1023
17171558,2026-05-08T20:19:43.178923+00:00,273
17307556,2026-05-08T20:19:43.178923+00:00,475
17234769,2026-05-08T20:19:43.178923+00:00,741
17196234,2026-05-08T20:19:43.178923+00:00,334
17650346,2026-05-08T20:19:43.178923+00:00,340
17174342,2026-05-08T20:19:43.178923+00:00,542
17176206,2026-05-08T20:19:43.178923+00:00,340
17164015,2026-05-08T20:19:43.178923+00:00,270
17249640,2026-05-08T20:19:43.178923+00:00,216
