tickpick_event_id,name,start_date,venue,city,region,low_price_usd,currency,url,observed_at
6250040,FIFA World Cup 26: Final - Match 104,2026-07-19T15:00:00,MetLife Stadium,East Rutherford,NJ,8922.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-final-match-104-tickets-metlife-stadium-7-19-26-3pm/6250040/,2026-07-02T18:55:05.595074+00:00
6250051,FIFA World Cup 26: Bronze/3rd Place Final - Match 103,2026-07-18T17:00:00,Hard Rock Stadium,Miami Gardens,FL,1690.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-bronze-3rd-place-final-match-103-tickets-hard-rock-stadium-7-18-26-5pm/6250051/,2026-07-02T18:55:05.595074+00:00
6259546,FIFA World Cup 26: Round of 32: Portugal vs. Croatia - Match 83,2026-07-02T19:00:00,BMO Field,Toronto,ON,1740.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-round-of-32-portugal-vs-croatia-match-83-tickets-bmo-field-7-2-26-7pm/6259546/,2026-07-02T18:55:05.595074+00:00
6259548,FIFA World Cup 26: Round of 16: W86 vs. W88 - Match 95,2026-07-07T12:00:00,Mercedes-Benz Stadium,Atlanta,GA,1760.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-round-of-16-w86-vs-w88-match-95-tickets-mercedes-benz-stadium-7-7-26-12pm/6259548/,2026-07-02T18:55:05.595074+00:00
6259549,FIFA World Cup 26: Semi-Finals: W99 vs. W100 - Match 102,2026-07-15T15:00:00,Mercedes-Benz Stadium,Atlanta,GA,3615.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-semi-finals-w99-vs-w100-match-102-tickets-mercedes-benz-stadium-7-15-26-3pm/6259549/,2026-07-02T18:55:05.595074+00:00
6259550,FIFA World Cup 26: Semi-Finals: W97 vs. W98 - Match 101,2026-07-14T14:00:00,AT&T Stadium,Arlington,TX,3278.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-semi-finals-w97-vs-w98-match-101-tickets-att-stadium-7-14-26-2pm/6259550/,2026-07-02T18:55:05.595074+00:00
6259551,FIFA World Cup 26: Round of 32: Argentina vs. Cape Verde - Match 86,2026-07-03T18:00:00,Hard Rock Stadium,Miami Gardens,FL,1846.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-round-of-32-argentina-vs-cape-verde-match-86-tickets-hard-rock-stadium-7-3-26-6pm/6259551/,2026-07-02T18:55:05.595074+00:00
6259553,FIFA World Cup 26: Quarter-Finals: W91 vs. W92 - Match 99,2026-07-11T17:00:00,Hard Rock Stadium,Miami Gardens,FL,3849.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-quarter-finals-w91-vs-w92-match-99-tickets-hard-rock-stadium-7-11-26-5pm/6259553/,2026-07-02T18:55:05.595074+00:00
6259561,FIFA World Cup 26: Quarter-Finals: W89 vs. W90 - Match 97,2026-07-09T16:00:00,Gillette Stadium,Foxborough,MA,1392.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-quarter-finals-w89-vs-w90-match-97-tickets-gillette-stadium-7-9-26-4pm/6259561/,2026-07-02T18:55:05.595074+00:00
6259574,FIFA World Cup 26: Round of 16: Paraguay vs. France - Match 89,2026-07-04T17:00:00,Lincoln Financial Field,Philadelphia,PA,865.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-round-of-16-paraguay-vs-france-match-89-tickets-lincoln-financial-field-7-4-26-5pm/6259574/,2026-07-02T18:55:05.595074+00:00
6259587,FIFA World Cup 26: Round of 16: Brazil vs. Norway - Match 91,2026-07-05T16:00:00,MetLife Stadium,East Rutherford,NJ,1241.0,USD,https://www.tickpick.com/buy-fifa-world-cup-26-round-of-16-brazil-vs-norway-match-91-tickets-metlife-stadium-7-5-26-4pm/6259587/,2026-07-02T18:55:05.595074+00:00
