vivid_event_id,observed_at,low_price_usd
25650338,2026-05-08T20:19:43.178923+00:00,2309
25650338,2026-05-08T21:57:23.129023+00:00,2370
25650338,2026-05-08T22:57:08.778316+00:00,2436
25650338,2026-05-08T23:57:10.868782+00:00,2313
25650349,2026-05-08T20:19:43.178923+00:00,378
25650349,2026-05-08T21:57:23.129023+00:00,375
25650349,2026-05-08T22:57:08.778316+00:00,378
25650349,2026-05-08T23:57:10.868782+00:00,393
25234767,2026-05-08T20:19:43.178923+00:00,1145
25234767,2026-05-08T21:57:23.129023+00:00,1196
25234767,2026-05-08T22:57:08.778316+00:00,1266
25234767,2026-05-08T23:57:10.868782+00:00,1251
25176203,2026-05-08T20:19:43.178923+00:00,1107
25176203,2026-05-08T21:57:23.129023+00:00,1174
25176203,2026-05-08T22:57:08.778316+00:00,1190
25176203,2026-05-08T23:57:10.868782+00:00,1197
25171556,2026-05-08T20:19:43.178923+00:00,254
25171556,2026-05-08T21:57:23.129023+00:00,273
25171556,2026-05-08T22:57:08.778316+00:00,271
25171556,2026-05-08T23:57:10.868782+00:00,252
25269669,2026-05-08T20:19:43.178923+00:00,1464
25269669,2026-05-08T21:57:23.129023+00:00,1493
25269669,2026-05-08T22:57:08.778316+00:00,1531
25269669,2026-05-08T23:57:10.868782+00:00,1618
25307864,2026-05-08T20:19:43.178923+00:00,709
25307864,2026-05-08T21:57:23.129023+00:00,679
25307864,2026-05-08T22:57:08.778316+00:00,692
25307864,2026-05-08T23:57:10.868782+00:00,684
25249637,2026-05-08T20:19:43.178923+00:00,317
25249637,2026-05-08T21:57:23.129023+00:00,322
25249637,2026-05-08T22:57:08.778316+00:00,317
25249637,2026-05-08T23:57:10.868782+00:00,328
25307552,2026-05-08T20:19:43.178923+00:00,420
25307552,2026-05-08T21:57:23.129023+00:00,438
25307552,2026-05-08T22:57:08.778316+00:00,422
25307552,2026-05-08T23:57:10.868782+00:00,412
25385143,2026-05-08T20:19:43.178923+00:00,762
25385143,2026-05-08T21:57:23.129023+00:00,754
25385143,2026-05-08T22:57:08.778316+00:00,805
25385143,2026-05-08T23:57:10.868782+00:00,778
25213259,2026-05-08T20:19:43.178923+00:00,753
25213259,2026-05-08T21:57:23.129023+00:00,754
25213259,2026-05-08T22:57:08.778316+00:00,756
25213259,2026-05-08T23:57:10.868782+00:00,766
25650339,2026-05-08T20:19:43.178923+00:00,329
25650339,2026-05-08T21:57:23.129023+00:00,305
25650339,2026-05-08T22:57:08.778316+00:00,325
25650339,2026-05-08T23:57:10.868782+00:00,332
25174340,2026-05-08T20:19:43.178923+00:00,489
25174340,2026-05-08T21:57:23.129023+00:00,515
25174340,2026-05-08T22:57:08.778316+00:00,511
25174340,2026-05-08T23:57:10.868782+00:00,516
25248695,2026-05-08T20:19:43.178923+00:00,558
25248695,2026-05-08T21:57:23.129023+00:00,598
25248695,2026-05-08T22:57:08.778316+00:00,594
25248695,2026-05-08T23:57:10.868782+00:00,578
25176204,2026-05-08T20:19:43.178923+00:00,302
25176204,2026-05-08T21:57:23.129023+00:00,295
25176204,2026-05-08T22:57:08.778316+00:00,315
25176204,2026-05-08T23:57:10.868782+00:00,326
